,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
418,Epidemiological Observation From a Smartphone Self-monitoring Application for Suspected COVID-19 Patients' Triage,COVID,"February 08, 2021",12000000,NCT04331171,WEB APPLICATION USERS,FRANCE,Recruiting,Weprom,"March 17, 2020",Observational [Patient Registry],Epidemiological Observation From a Smartphone Self-monitoring Application for Suspected COVID-19 Patients' Triage
419,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,COVID,"February 08, 2021",2,NCT04331366,GO2 PEEP MOUTHPIECE,UNITED STATES,Completed,Emory University,"April 8, 2020",Interventional,GO2 PEEP Study: The Use of a Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19
420,Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in Treatment of COVID-19,COVID,"February 08, 2021",30,NCT04331470,LEVAMISOLE PILL + BUDESONIDE+FORMOTEROL INHALER; LOPINAVIR/RITONAVIR + HYDOXYCHLOROQUINE,"IRAN, ISLAMIC REPUBLIC OF",Recruiting,Fasa University of Medical Sciences,"April 4, 2020",Interventional,Evaluation of Efficacy of Pharmacotherapy Treatment of COVID- 19 Infection Using Oral Levamisole and Formoterol+Budesonide Inhaler and Comparison of This Treatment Protocol With Standard National Treatment of the Disease
421,COVID-19 Symptom Tracker,COVID,"February 08, 2021",10000000,NCT04331509,NO INTERVENTION,UNITED KINGDOM,Recruiting,King's College London,"March 23, 2020",Observational,COVID-19 Symptom Tracker
422,Renin-Angiotensin System Inhibitors and COVID-19,COVID; HYPERTENSION; CARDIOVASCULAR DISEASES,"February 08, 2021",2000,NCT04331574,,ITALY,Recruiting,Societa Italiana dell'Ipertensione Arteriosa,"March 10, 2020",Observational [Patient Registry],Phase IV Observational Study to Associate Hypertension and Hypertensinon Treatment to COVID19
423,Chloroquine as Antiviral Treatment in Coronavirus Infection 2020,COVID,"February 08, 2021",400,NCT04331600,CHLOROQUINE PHOSPHATE; TELEMEDICINE,POLAND,Recruiting,Wroclaw Medical University,"April 16, 2020",Interventional,"Multicenter, Randomized, Open-label, Non-commercial, Investigator-initiated Study to Evaluate the Efficacy and Safety of Chloroquine Phosphate in Combination With Telemedicine Care in the Risk Reduction of COVID-19 Related Hospitalization or Death, in Ambulatory Patients With COVID-19 Being at Risk of Serious Complications"
424,Safety and Efficacy of CAStem for Severe COVID-19 Associated With/Without ARDS,COVID; ACUTE RESPIRATORY DISTRESS SYNDROME; VIRUS; PNEUMONIA; ACUTE LUNG INJURY,"February 08, 2021",9,NCT04331613,CASTEM,CHINA,Recruiting,Chinese Academy of Sciences,"January 27, 2020",Interventional,Safety and Efficacy Study of Human Embryonic Stem Cells Derived M Cells (CAStem) for the Treatment of Severe COVID-19 Associated With or Without Acute Respiratory Distress Syndrome (ARDS)
425,Study of the Efficacy and Safety of Ruxolitinib to Treat COVID-19 Pneumonia,COVID; PNEUMONIA,"February 08, 2021",64,NCT04331665,RUXOLITINIB,CANADA,Not yet recruiting,"University Health Network, Toronto","April 20, 2020",Interventional,A Single Arm Open-label Clinical Study to Investigate the Efficacy and Safety of Ruxolitinib for the Treatment of COVID-19 Pneumonia
426,"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis",COVID,"February 08, 2021",32,NCT04331795,TOCILIZUMAB; TOCILIZUMAB,UNITED STATES,Completed,University of Chicago,"April 4, 2020",Interventional,Early Institution of Tocilizumab Titration in Non-Critical Hospitalized COVID-19 Pneumonitis
427,CORIMUNO-19 - Tocilizumab Trial - TOCI (CORIMUNO-TOCI),CORONAVIRUS INFECTION,"February 08, 2021",228,NCT04331808,TOCILIZUMAB,FRANCE,"Active, not recruiting",Assistance Publique - Hôpitaux de Paris,"March 30, 2020",Interventional,Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients - Tocilizumab Trial - CORIMUNO-19 - TOCI (CORIMUNO-TOCI)
428,Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic,COVID,"February 08, 2021",440,NCT04331834,HYDROXYCHLOROQUINE; PLACEBOS,SPAIN,Suspended,Barcelona Institute for Global Health,"April 3, 2020",Interventional,"Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic: A Multicentre, Double-Blinded Randomized Controlled Trial"
429,An Observational Study of Patients With Coronavirus Disease 2019,COVID; CORONAVIRUS,"February 08, 2021",5000,NCT04331886,,UNITED STATES,Recruiting,"Target PharmaSolutions, Inc.","April 13, 2020",Observational,An Observational Study of Patients With Coronavirus Disease 2019
430,Single-Blind Study of a Single Dose of Peginterferon Lambda-1a Compared With Placebo in Outpatients With Mild COVID-19,COVID,"February 08, 2021",120,NCT04331899,PEGINTERFERON LAMBDA-1A; PLACEBO,UNITED STATES,"Active, not recruiting",Stanford University,"April 24, 2020",Interventional,"A Phase 2 Randomized, Single-Blind Study of a Single Dose of Peginterferon Lambda-1a (Lambda) Compared With Placebo in Outpatients With Mild COVID-19"
431,COVID-19 Biological Samples Collection,INFECTION VIRAL,"February 08, 2021",2000,NCT04332016,BIOLOGICAL SAMPLES COLLECTION,FRANCE,Recruiting,"University Hospital, Bordeaux","April 2, 2020",Observational,Biological Samples Collection From Patients and Caregivers Treated at Bordeaux University Hospital for Asymptomatic and Symptomatic Severe Acute Respiratory Syndrome CoronaVirus 2 (SARS-CoV-2) Infection (COVID-19).
432,TOFAcitinib in SARS-CoV2 Pneumonia,SARS-CoV2 RELATED INTERSTITIAL PNEUMONIA,"February 08, 2021",50,NCT04332042,TOFACITINIB,ITALY,Not yet recruiting,Università Politecnica delle Marche,"April 10, 2020",Interventional,TOFAcitinib in Patients With Early Onset SARS-CoV2 Interstitial Pneumonia
433,Hyperbaric Oxygen for COVID-19 Patients,COVID,"February 08, 2021",20,NCT04332081,HYPERBARIC OXYGEN THERAPY (HBOT),UNITED STATES,Terminated,NYU Langone Health,"April 6, 2020",Interventional,Open Label Single-Center Study of Emergency Hyperbaric Oxygen for Respiratory Distress in Patients With COVID-19
434,"Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of COVID-19",COVID,"February 08, 2021",276,NCT04332094,TOCILIZUMAB; HYDROXYCHLOROQUINE; AZITHROMYCIN,SPAIN,Recruiting,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,"April 2, 2020",Interventional,"Pilot, Randomized, Multicenter, Open-label Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of SARS-CoV-2 Infection (COVID-19)"
435,Azithromycin for COVID-19 Treatment in Outpatients Nationwide,COVID; SARS-CoV2,"February 08, 2021",2271,NCT04332107,AZITHROMYCIN; PLACEBOS,UNITED STATES,Recruiting,Thomas M. Lietman,"May 22, 2020",Interventional,Azithromycin for Prevention of Disease Progression in Patients With Mild or Moderate COVID-19
436,Convalescent Plasma for Patients With COVID-19: A Pilot Study,CORONAVIRUS; CORONAVIRUS INFECTION,"February 08, 2021",10,NCT04332380,PLASMA,COLOMBIA,Completed,Universidad del Rosario,"May 1, 2020",Interventional,Convalescent Plasma for Patients With COVID-19: A Pilot Study
437,"Angiotensin-(1,7) Treatment in COVID-19: the ATCO Trial",CORONAVIRUS; RESPIRATORY FAILURE; CORONAVIRUS SARS-ASSOCIATED AS CAUSE OF DISEASE CLASSIFIED ELSEWHERE; SARS-CoV2,"February 08, 2021",60,NCT04332666,ANGIOTENSIN 1-7; PLACEBOS,,Not yet recruiting,Erasme University Hospital,"September 30, 2020",Interventional,"Angiotensin-(1,7) Treatment in COVID-19: the ATCO Trial"
438,"Convalescent Plasma for Patients With COVID-19: A Randomized, Single Blinded, Parallel, Controlled Clinical Study",CORONAVIRUS; CORONAVIRUS INFECTION,"February 08, 2021",92,NCT04332835,PLASMA; STANDARD THERAPY,COLOMBIA,Completed,Universidad del Rosario,"August 8, 2020",Interventional,"Convalescent Plasma for Patients With COVID-19: A Randomized, Single Blinded, Parallel, Controlled Clinical Study"
439,Efficacy and Safety of Tocilizumab in the Treatment of SARS-Cov-2 Related Pneumonia,COVID PNEUMONIA,"February 08, 2021",30,NCT04332913,,ITALY,Recruiting,University of L'Aquila,"April 1, 2020",Observational,Efficacy and Safety of Tocilizumab in the Treatment of Patients With Respiratory Distress Syndrome and Cytokine Release Syndrome Secondary to COVID-19: a Proof of Concept Study
440,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease,CORONAVIRUS; ACUTE RESPIRATORY INFECTION; SARS-COV INFECTION,"February 08, 2021",479,NCT04332991,HYDROXYCHLOROQUINE; PLACEBO,UNITED STATES,Completed,Massachusetts General Hospital,"April 2, 2020",Interventional,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease
441,Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers,COVID,"February 08, 2021",228,NCT04333225,HYDROXYCHLOROQUINE,UNITED STATES,Completed,Baylor Research Institute,"April 3, 2020",Interventional,A Prospective Clinical Study of Hydroxychloroquine in the Prevention of SARS- CoV-2 (COVID-19) Infection in Healthcare Workers After High-risk Exposures
442,Study Testing Convalescent Plasma vs Best Supportive Care,"PNEUMONIA, INTERSTITIAL","February 08, 2021",115,NCT04333251,HIGH-TITER ANTI-SARS-COV-2 PLASMA; OXYGEN THERAPY,,Not yet recruiting,Baylor Research Institute,"April 1, 2020",Interventional,Evaluating Convalescent Plasma to Decrease Coronavirus Associated Complications. A Phase I Study Comparing the Efficacy and Safety of High-titer Anti-Sars-CoV-2 Plasma vs Best Supportive Care in Hospitalized Patients With Interstitial Pneumonia Due to COVID-19
443,Safety in Convalescent Plasma Transfusion to COVID-19,COVID,"February 08, 2021",20,NCT04333355,CONVALESCENT PLASMA,MEXICO,Recruiting,Hospital San Jose Tec de Monterrey,"May 8, 2020",Interventional,Phase 1 Study to Evaluate the Safety of Convalescent Plasma as an Adjuvant Therapy in Patients With SARS-CoV-2 Infection
444,Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; SEVERE ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",47,NCT04333368,UMBILICAL CORD WHARTON'S JELLY-DERIVED HUMAN; NACL 0.9%,FRANCE,"Active, not recruiting",Assistance Publique - Hôpitaux de Paris,"April 6, 2020",Interventional,Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS
445,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,COVID,"February 08, 2021",3170,NCT04333407,ASPIRIN 75MG; CLOPIDOGREL 75MG; RIVAROXABAN 2.5 MG; ATORVASTATIN 40MG; OMEPRAZOLE 20MG,UNITED KINGDOM,Recruiting,Imperial College London,"April 3, 2020",Interventional,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.
446,"Randomized, Controlled Study of IFX-1 in Patients With Severe COVID-19 Pneumonia",SEVERE COVID PNEUMONIA,"February 08, 2021",390,NCT04333420,SOC + IFX-1; SOC + PLACEBO,GERMANY,Recruiting,InflaRx GmbH,"March 31, 2020",Interventional,"A Pragmatic Adaptive Randomized, Controlled Phase II/III Multicenter Study of IFX-1 in Patients With Severe COVID-19 Pneumonia"
447,Piclidenoson for Treatment of COVID-19,COVID; CORONAVIRUS INFECTION,"February 08, 2021",40,NCT04333472,PICLIDENOSON; PLACEBO,ISRAEL,Recruiting,Can-Fite BioPharma,"January 6, 2021",Interventional,"Piclidenoson for Treatment of COVID-19 - A Randomized, Double-Blind, Placebo-Controlled Trial"
448,Application of Desferal to Treat COVID-19,COVID,"February 08, 2021",50,NCT04333550,DEFEROXAMINE,"IRAN, ISLAMIC REPUBLIC OF",Recruiting,Kermanshah University of Medical Sciences,April 2020,Interventional,Application of Iron Chelator (Desferal) to Reduce the Severity of COVID-19 Manifestations
449,Corona Virus Disease 2019 Patients Whose Nucleic Acids Changed From Negative to Positive,COVID,"February 08, 2021",210,NCT04333589,FAVIPIRAVIR,CHINA,Recruiting,Peking University First Hospital,"April 1, 2020",Interventional,"The Mechanism, Clinical Outcome and Therapeutic Intervention of Corona Virus Disease 2019 Patients Whose Nucleic Acids Changed From Negative to Positive"
450,Chloroquine for Mild Symptomatic and Asymptomatic COVID-19,COVID,"February 08, 2021",5,NCT04333628,CHLOROQUINE; STANDARD CARE,ISRAEL,Terminated,"HaEmek Medical Center, Israel","June 1, 2020",Interventional,"Chloroquine for Mild Symptomatic and Asymptomatic COVID-19 in A Two Staged, Multicenter, Open Label and Randomized Trial"
451,Hydroxychloroquine in Outpatient Adults With COVID-19,CORONAVIRUS INFECTION,"February 08, 2021",8,NCT04333654,HYDROXYCHLOROQUINE SAR321068; PLACEBO,BELGIUM,Terminated,Sanofi,"April 12, 2020",Interventional,"A Phase 1b, Randomized, Double-blinded, Placebo-controlled Study of Hydroxychloroquine in Outpatient Adults With COVID-19"
452,Outcomes of Vascular Surgery in COVID-19 Infection: National Cohort Study,VASCULAR SURGICAL PROCEDURES; COVID; POSTOPERATIVE COMPLICATIONS,"February 08, 2021",50,NCT04333693,VASCULAR SURGERY,SPAIN,Not yet recruiting,Vascular Investigation Network Spanish Society for Angiology and Vascular Surgery,"April 1, 2020",Observational [Patient Registry],Outcomes of Vascular Surgery in COVID-19 Infection: National Cohort Study (Covid-VAS)
453,CROWN CORONATION: COVID-19 Research Outcomes Worldwide Network for CORONAvirus prevenTION,COVID,"February 08, 2021",30000,NCT04333732,MR OR M-M-R II ® VACCINE; PLACEBO,GHANA,Recruiting,Washington University School of Medicine,"September 4, 2020",Interventional,"An International, Multi-site, Bayesian Platform Adaptive, Randomized, Placebo-controlled Trial Assessing the Effectiveness of Candidate Agents in Mitigating COVID-19 Disease in Adults"
454,Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19,CORONAVIRUS,"February 08, 2021",132,NCT04333849,,FRANCE,Completed,"University Hospital, Angers","March 25, 2020",Observational,Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19
455,Assessment of Covid-19 Infection Rates in Healthcare Workers Using a Desynchronization Strategy,SARS-CoV2,"February 08, 2021",500,NCT04333862,,SWITZERLAND,Recruiting,"University Hospital Inselspital, Berne","March 19, 2020",Observational,Assessment of Covid-19 Infection Rates in Healthcare Workers Using a Desynchronization Strategy
456,Morbidity and Mortality Due to Deferral of Aortic Valve Replacement in Patients With Severe Aortic Stenosis,AORTIC VALVE STENOSIS,"February 08, 2021",71,NCT04333875,TAVR OR SAVR,SWITZERLAND,"Active, not recruiting","University Hospital Inselspital, Berne","March 20, 2020",Observational [Patient Registry],Morbidity and Mortality Due to Deferral of Aortic Valve Replacement in Patients With Severe Aortic Stenosis - a Collateral Effect of the SARS-CoV-2 Pandemic (AS DEFER)
457,Prospective Study in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 Infection,SARS-CoV2 (COVID) INFECTION; ADVANCED OR METASTATIC HEMATOLOGICAL OR SOLID TUMOR,"February 08, 2021",219,NCT04333914,AUTOPHAGY INHIBITOR (GNS651); STANDARD OF CARE; AVDORALIMAB; MONALIZUMAB,FRANCE,Recruiting,Centre Leon Berard,"April 15, 2020",Interventional,"A Prospective, Controlled, Randomized, Multicenter Study of the Efficacy of an Autophagy Inhibitor (GNS561), an Anti-NKG2A (Monalizumab) and an Anti-C5aR (Avdoralimab) Compared to the Standard of Care in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 (COVID-19) Infection."
458,COVID-19 in Patients With HIV,HIV/AIDS; COVID; SARS-CoV2,"February 08, 2021",500,NCT04333953,NO INTERVENTION,UNITED STATES,Recruiting,University of Missouri-Columbia,"April 1, 2020",Observational [Patient Registry],Prospective Observational Study for Patients With HIV and Confirmed SARS-CoV-2
459,Vitamin D on Prevention and Treatment of COVID-19,PATIENTS INFECTED WITH COVID,"February 08, 2021",200,NCT04334005,VITAMIN D,SPAIN,Not yet recruiting,Universidad de Granada,"April 10, 2020",Interventional,Effect of Vitamin D Administration on Prevention and Treatment of Mild Forms of Suspected Covid-19
460,Treatment of SARS Caused by COVID-19 With Ruxolitinib,COVID; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,"February 08, 2021",20,NCT04334044,RUXOLITINIB ORAL TABLET,MEXICO,Recruiting,Grupo Cooperativo de Hemopatías Malignas,"September 1, 2020",Interventional,Treatment of Severe Acute Respiratory Syndrome Caused by COVID-19 With Ruxolitinib
461,Healthcare Worker Exposure Response and Outcomes of Hydroxychloroquine,COVID,"February 08, 2021",1363,NCT04334148,HYDROXYCHLOROQUINE; PLACEBO ORAL TABLET,UNITED STATES,"Active, not recruiting",Adrian Hernandez,"April 22, 2020",Interventional,Healthcare Worker Exposure Response and Outcomes of Hydroxychloroquine Trial (HERO-HCQ Trial)
462,Descriptive Study Regarding Ambulant Screening During COVID-19 Pandemia,COVID,"February 08, 2021",528,NCT04334252,QUESTIONNAIRE,BELGIUM,Completed,Jessa Hospital,"April 17, 2020",Observational,Descriptive Study Regarding the Ambulant Screening Protocol for COVID-19 in Times of High SARS CoV-2 Prevalence
463,Efficacy and Safety of Anluohuaxian in the Treatment of Rehabilitation Patients With Corona Virus Disease 2019,COVID,"February 08, 2021",750,NCT04334265,ANLUOHUAXIAN,CHINA,Recruiting,Peking University First Hospital,"April 1, 2020",Interventional,"Efficacy and Safety of Anluohuaxian in the Treatment of Rehabilitation Patients With Corona Virus Disease 2019-A Multicenter, Open, Randomized Controlled Study"
464,"International COVID19 Clinical Evaluation Registry,",COVID,"February 08, 2021",8168,NCT04334291,OBSERVATIONAL (REGISTRY),SPAIN,Completed,IVAN J NUÑEZ GIL,"March 23, 2020",Observational [Patient Registry],International COVID19 Clinical Evaluation Registry: HOPECOVID19. (Health Outcome Predictive Evaluation for COVID19)
465,Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19,COVID,"February 08, 2021",1550,NCT04334382,HYDROXYCHLOROQUINE; AZITHROMYCIN,UNITED STATES,Recruiting,"Intermountain Health Care, Inc.","April 2, 2020",Interventional,Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19 (HyAzOUT): A Prospective Pragmatic Trial
466,Telerehabilitation in Individuals Over 65 Years of Age Having Social Isolation Due to Coronavirus (Covid-19),TELEREHABILITATION,"February 08, 2021",30,NCT04334434,TELEREHABILITATION,TURKEY,Completed,"Kubra Koce, MSc PT","July 30, 2020",Interventional,Investigation Of The Effectiveness Of The Telerehabilitation Applied To Individuals Over The Age Of 65 Who Experience Social Isolation At Houses Due To The Coronavirus (Covid-19) Pandemic
467,Safety and Antiviral Activity of BLD-2660 in COVID-19 Hospitalized Subjects,SARS-CoV2; COVID,"February 08, 2021",120,NCT04334460,BLD-2660,BRAZIL,"Active, not recruiting",Blade Therapeutics,"May 4, 2020",Interventional,"Phase 2, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Antiviral Activity of BLD-2660 in Hospitalized Subjects With Recently Diagnosed COVID-19 Compared to Standard of Care Treatment"
468,A Study of Quintuple Therapy to Treat COVID-19 Infection,COVID; CORONAVIRUS INFECTION; CORONAVIRUS-19; SARS-CoV2,"February 08, 2021",600,NCT04334512,HYDROXYCHLOROQUINE; AZITHROMYCIN; VITAMIN C; VITAMIN D; ZINC,UNITED STATES,Recruiting,ProgenaBiome,"June 22, 2020",Interventional,"A Randomized, Double-Blind, Placebo-Controlled Phase IIa Study of Quintuple Therapy to Treat COVID-19 Infection"
469,LIBERATE Trial in COVID-19,CORONAVIRUS; RESPIRATORY DISTRESS SYNDROME; SARS-COV INFECTION,"February 08, 2021",230,NCT04334629,IBUPROFEN,UNITED KINGDOM,Recruiting,King's College London,"May 26, 2020",Interventional,"Lipid Ibuprofen Versus Standard of Care for Acute Hypoxemic Respiratory Failure Due to COVID-19: a Multicentre, Randomised, Controlled Trial"
470,Use of a Respiratory Multiplex PCR and Procalcitonin to Reduce Antibiotics Exposure in Patients With Severe Confirmed COVID-19 Pneumonia,COVID; PNEUMONIA,"February 08, 2021",194,NCT04334850,COMBINED USE OF A RESPIRATORY BROAD PANEL MULTIPLEX PCR AND PROCALCITONIN; USUAL ANTIBIOTIC TREATMENT,FRANCE,Recruiting,Assistance Publique - Hôpitaux de Paris,"April 20, 2020",Interventional,"Use of a Respiratory Multiplex PCR and Procalcitonin to Reduce Antibiotics Exposure in Patients With Severe Confirmed COVID-19 Pneumonia : a Multicenter, Parallel-group, Open-label, Randomized Controlled Trial"
471,Rapid SARS-CoV-2 IgG Antibody Testing in High Risk Healthcare Workers,SARS-CoV2,"February 08, 2021",340,NCT04334876,SARS-COV-2 IGG ANTIBODY TESTING KIT,,Not yet recruiting,Indiana University,"April 1, 2020",Observational,Rapid SARS-CoV-2 IgG Antibody Testing in High Risk Healthcare Workers and Candidacy for Convalescent Plasma Therapy/Prophylaxis
472,Randomized Clinical Trial for the Prevention of SARS-CoV-2 Infection (COVID-19) in Healthcare Personnel,CORONAVIRUS INFECTION,"February 08, 2021",4000,NCT04334928,EMTRICITABINE/TENOFOVIR DISOPROXIL; HYDROXYCHLOROQUINE; PLACEBO: EMTRICITABINE/TENOFOVIR DISOPROXIL PLACEBO; PLACEBO: HYDROXYCHLOROQUINE,SPAIN,Recruiting,Plan Nacional sobre el Sida (PNS),"April 15, 2020",Interventional,Prevention of SARS-CoV-2 (COVID-19) Through Pre-Exposure Prophylaxis With Tenofovir Disoproxil Fumarate/Emtricitabine and Hydroxychloroquine in Healthcare Personnel: Randomized Clinical Trial Controlled With Placebo
473,SARS-COV2 Pandemic Serosurvey and Blood Sampling,SARS-CoV2 VIRUS,"February 08, 2021",15000,NCT04334954,,UNITED STATES,Recruiting,National Institute of Allergy and Infectious Diseases (NIAID),"August 26, 2020",Observational,SARS-COV2 Pandemic Serosurvey and Blood Sampling
474,Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care,COVID; CORONAVIRUS INFECTION; SARS-CoV2; 2019-NCOV; 2019 NOVEL CORONAVIRUS,"February 08, 2021",13,NCT04334967,HYDROXYCHLOROQUINE; VITAMIN C,UNITED STATES,Suspended,Providence Health & Services,"March 30, 2020",Interventional,Randomized Study to Evaluate the Safety and Antiviral Efficacy of Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care Treatment
475,"Evaluating the Safety, Tolerability and Immunogenicity of bacTRL-Spike Vaccine for Prevention of COVID-19",COVID,"February 08, 2021",24,NCT04334980,BACTRL-SPIKE,AUSTRALIA,Recruiting,Symvivo Corporation,"November 2, 2020",Interventional,"A Phase 1, Randomized, Observer-Blind, Placebo-Controlled Trial to Evaluate the Safety, Tolerability and Immunogenicity of the bacTRL-Spike Oral Candidate Vaccine for the Prevention of COVID-19 in Healthy Adults"
476,Interest of the Use of Pulmonary Ultrasound in the Referral of Patients With or Suspected COVID-19 +,2019-NCOV (COVID); INTERSTITIAL PNEUMONIA,"February 08, 2021",300,NCT04335019,PULMONARY ULTRASOUND,,Not yet recruiting,Assistance Publique - Hôpitaux de Paris,April 2020,Observational,Interest of the Use of Pulmonary Ultrasound in the Referral of Patients With or Suspected COVID-19 +
477,EPA-FFA to Treat Hospitalised Patients With COVID-19 (SARS-CoV-2),SARS-CoV2,"February 08, 2021",284,NCT04335032,EICOSAPENTAENOIC ACID GASTRO-RESISTANT CAPSULES; PLACEBO,,Not yet recruiting,S.L.A. Pharma AG,"November 9, 2020",Interventional,"A Randomised, Double-blind, Placebo Controlled Study of Eicosapentaenoic Acid (EPA-FFA) Gastro-resistant Capsules to Treat Hospitalised Subjects With Confirmed SARS-CoV-2"
478,Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19),SARS-CoV2 INFECTION,"February 08, 2021",5,NCT04335071,TOCILIZUMAB (TCZ); PLACEBO,SWITZERLAND,Terminated,"University Hospital Inselspital, Berne","April 26, 2020",Interventional,"CORON-ACT - a Multicenter, Double-blind, Randomized Controlled Phase II Trial on the Efficacy and Safety of Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19)"
479,"A Study of Hydroxychloroquine, Vitamin C, Vitamin D, and Zinc for the Prevention of COVID-19 Infection",COVID; CORONAVIRUS INFECTION; SARS-CoV2; CORONAVIRUS INFECTION; COVID; CORONAVIRUS; CORONAVIRUS-19; CORONAVIRUS 19,"February 08, 2021",600,NCT04335084,HYDROXYCHLOROQUINE; VITAMIN C; VITAMIN D; ZINC,UNITED STATES,Recruiting,ProgenaBiome,"June 22, 2020",Interventional,"A Randomized, Double-Blind, Placebo-Controlled Phase IIa Study of Hydroxychloroquine, Vitamin C, Vitamin D, and Zinc for the Prevention of COVID-19 Infection"
480,Sensor Based Vital Signs Monitoring of Covid 19 Patients During Home Isolation,COVID,"February 08, 2021",214,NCT04335097,BIOSENSORS,NORWAY,Recruiting,Lars Wik,"April 22, 2020",Interventional,"Sensor Based Vital Signs Monitoring of Patients With Clinical Manifestation of Covid 19 Disease During Home Isolation, a Randomized Feasibility Study"
481,Study of Open Label Losartan in COVID-19,COVID,"February 08, 2021",34,NCT04335123,LOSARTAN,UNITED STATES,Completed,University of Kansas Medical Center,"April 4, 2020",Interventional,An Open Label Phase 1 Trial of Losartan for Worsening Respiratory Illness in COVID-19
482,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,COVID,"February 08, 2021",200,NCT04335136,RHACE2 APN01; PHYSIOLOGICAL SALINE SOLUTION,AUSTRIA,Completed,Apeiron Biologics,"April 30, 2020",Interventional,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19
483,Cardiovascular Complications and COVID-19 (CovCardioVasc-Study),COVID; ACUTE CORONARY SYNDROME; MYOCARDIAL INFARCTION; MYOCARDITIS; VENOUS THROMBOEMBOLISM; DEEP VEIN THROMBOSIS; PULMONARY EMBOLISM,"February 08, 2021",100,NCT04335162,,FRANCE,Recruiting,Centre Hospitalier Universitaire de Nice,"February 28, 2020",Observational,Cardiovascular Complications in Patients With COVID-19
484,COVID-19 Registry Rhineland-Palatinate (Germany),COVID,"February 08, 2021",4000,NCT04335188,PROSPECTIVE OBERSERVATIONAL REGISTRY,GERMANY,Recruiting,IHF GmbH - Institut für Herzinfarktforschung,"April 6, 2020",Observational,"COVID-19 Registry Rhineland-Palatinate (Germany) - COVID-19 Disease Registry a National, Multicentre, Non-interventional, Prospective Observational Study"
485,Defibrotide in COVID-19 Pneumonia,PATIENTS WITH COVID PNEUMONIA WILL ALLOW TO DETECT AN ABSOLUTE REDUCTION IN THE RATE OF RESPIRATORY-FAILURE,"February 08, 2021",50,NCT04335201,DEFIBROTIDE INJECTION,,Not yet recruiting,IRCCS San Raffaele,"April 6, 2020",Interventional,Use of Defibrotide to Reduce Progression of Acute Respiratory Failure Rate in Patients With COVID-19 Pneumonia
486,Evaluation of the Scleroderma Patient-centered Intervention Network COVID-19 Home-isolation Activities Together Program,"SCLERODERMA; SCLERODERMA, SYSTEMIC; SYSTEMIC SCLEROSIS","February 08, 2021",172,NCT04335279,SPIN-CHAT PROGRAM,CANADA,Completed,Lady Davis Institute,"April 9, 2020",Interventional,A Partially Nested RCT to Evaluate the Effectiveness of the Scleroderma Patient-centered Intervention Network COVID-19 Home-isolation Activities Together (SPIN-CHAT) Program to Reduce Anxiety Among At-Risk Scleroderma Patients
