,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
375,CORONAVIRUS DISEASE 2019 (COVID),"February 08, 2021",10078,NCT04327206,BCG VACCINE,AUSTRALIA,Recruiting,Murdoch Childrens Research Institute,"March 30, 2020",Interventional,BCG Vaccination to Reduce the Impact of COVID-19 in Healthcare Workers (BRACE) Trial,COVID
376,CORONAVIRUS INFECTION,"February 08, 2021",30,NCT04327349,CONVALESCENT PLASMA,"IRAN, ISLAMIC REPUBLIC OF",Enrolling by invitation,Mazandaran University of Medical Sciences,"March 28, 2020",Interventional,Investigating Effect of Convalescent Plasma on COVID-19 Patients Outcome: A Clinical Trial,COVID
377,CORONAVIRUS INFECTION,"February 08, 2021",420,NCT04327388,SARILUMAB SAR153191,ARGENTINA,Completed,Sanofi,"March 28, 2020",Interventional,"An Adaptive Phase 3, Randomized, Double-blind, Placebo-controlled Study Assessing Efficacy and Safety of Sarilumab for Hospitalized Patients With COVID19",COVID
378,CORONAVIRUS INFECTION,"February 08, 2021",299,NCT04327401,DEXAMETHASONE,BRAZIL,Terminated,Hospital Sirio-Libanes,"April 13, 2020",Interventional,"COVID-19-associated ARDS Treated With DEXamethasone: an Open-label, Randomized, Controlled Trial: CoDEX (Alliance Covid-19 Brasil III)",COVID
379,CARDIOVASCULAR DISEASES,"February 08, 2021",728,NCT04327479,ASSESSMENT OF CARDIOVASCULAR DISEASES AND CARDIOVASCULAR RISK FACTORS,GERMANY,Recruiting,"University Hospital, Essen","March 26, 2020",Observational [Patient Registry],Characterization of Cardiovascular Diseases and Risk Factors in Patients With Suspected SARS-CoV2/Covid-19 Infection,Unrelated
380,SARS (SEVERE ACUTE RESPIRATORY SYNDROME),"February 08, 2021",200,NCT04327505,HYPERBARIC OXYGEN,GERMANY,Recruiting,Karolinska Institutet,"June 3, 2020",Interventional,"A Randomized, Controlled, Open Label, Multicentre Clinical Trial to Explore Safety and Efficacy of Hyperbaric Oxygen for Preventing ICU Admission, Morbidity and Mortality in Adult Patients With COVID-19",Respiratory
381,COVID,"February 08, 2021",200,NCT04327531,TURKISH PHYSICIANS,TURKEY,Completed,Kanuni Sultan Suleyman Training and Research Hospital,"March 26, 2020",Observational,"Evaluation of Covid 19 Knowledge Anxiety and Expectation Levels of Turkish Physicians, Survey Study",COVID
382,CORONAVIRUS INFECTION,"February 08, 2021",100,NCT04327570,PATIENT SAMPLING,BELGIUM,Recruiting,Universitaire Ziekenhuizen Leuven,"March 27, 2020",Observational [Patient Registry],In-depth Characterisation of the Dynamic Host Immune Response to Coronavirus SARS-CoV-2,COVID
383,COVID,"February 08, 2021",375,NCT04327674,,DENMARK,Recruiting,University of Aarhus,"March 14, 2020",Observational [Patient Registry],The Use of Focused Lung Ultrasound in Patients Suspected of COVID-19,COVID
384,SARS-COV INFECTION,"February 08, 2021",120,NCT04327804,ODD/EVEN BIRTH YEAR INTERVENTION GROUPS,UNITED STATES,Recruiting,Dr. Deneen Vojta,"March 25, 2020",Observational,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,Respiratory
385,SARS-CoV2 INFECTION,"February 08, 2021",4000,NCT04328012,LOPINAVIR/RITONAVIR,UNITED STATES,Recruiting,Bassett Healthcare,"April 6, 2020",Interventional,Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2 In a Pragmatic aDaptive randoMizED Clinical Trial During the COVID-19 Pandemic (COVID MED Trial),COVID
386,CORONAVIRUS INFECTION,"February 08, 2021",1300,NCT04328129,HUMAN BIOLOGICAL SAMPLES,FRENCH GUIANA,Recruiting,Institut Pasteur,"March 23, 2020",Interventional,Household Transmission Investigation Study for Coronavirus Disease 2019 (COVID-19) in Tropical Regions,COVID
387,COVID,"February 08, 2021",75,NCT04328272,HYDROXYCHLOROQUINE 200 MG ORAL TABLET,PAKISTAN,Not yet recruiting,Prof. Dr. Umar Farooq,"March 28, 2020",Interventional,Effectiveness of Hydroxychloroquine in Covid-19 Patients: A Single Centred Single-blind RCT Study,COVID
388,COVID,"February 08, 2021",1200,NCT04328285,HYDROXYCHLOROQUINE,FRANCE,"Active, not recruiting",Centre Hospitalier Universitaire de Saint Etienne,"April 14, 2020",Interventional,Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers : A Randomized Double-blind Placebo-controlled Clinical Trial,COVID
389,COVID,"February 08, 2021",1500,NCT04328441,BCG VACCINE,NETHERLANDS,"Active, not recruiting",UMC Utrecht,"March 25, 2020",Interventional,"Reducing Health Care Workers Absenteeism in COVID-19 Pandemic by Enhanced Trained Immune Responses Through Bacillus Calmette-Guérin Vaccination, a Randomized Controlled Trial.",COVID
390,CORONAVIRUS,"February 08, 2021",120,NCT04328454,RETROSPECTIVE ANALYSIS,CHINA,Recruiting,Shanghai 10th People's Hospital,"January 30, 2020",Observational,Clinical Characteristics and Prognostic Factors of Patients With COVID-19 in Chibi Hospital of Hubei Province,COVID
391,COVID,"February 08, 2021",1500,NCT04328467,HYDROXYCHLOROQUINE,UNITED STATES,"Active, not recruiting",University of Minnesota,"April 6, 2020",Interventional,Pre-exposure Prophylaxis for SARS-Coronavirus-2: A Pragmatic Randomized Clinical Trial,COVID
392,COVID,"February 08, 2021",1200,NCT04328480,COLCHICINE,ARGENTINA,Recruiting,Estudios Clínicos Latino América,"April 17, 2020",Interventional,The ECLA PHRI COLCOVID Trial,COVID
393,SARS-CoV2 INFECTION,"February 08, 2021",250,NCT04328493,CHLOROQUINE PHOSPHATE,VIETNAM,Recruiting,"Oxford University Clinical Research Unit, Vietnam","April 7, 2020",Interventional,A Multi Center Randomized Open Label Trial on the Safety and Efficacy of Chloroquine for the Treatment of Hospitalized Adults With Laboratory Confirmed SARS-CoV-2 Infection in Vietnam,COVID
394,COVID,"February 08, 2021",829,NCT04328961,HYDROXYCHLOROQUINE SULFATE,UNITED STATES,Completed,University of Washington,"March 31, 2020",Interventional,"Efficacy of Hydroxychloroquine for Post-exposure Prophylaxis (PEP) to Prevent Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection Among Adults Exposed to Coronavirus Disease (COVID-19): a Blinded, Randomized Study",COVID
395,HISTORY OF CARDIOVASCULAR DISEASE TREATED WITH RAS BLOCKERS AND WITH SARS-CoV2 INFECTION,"February 08, 2021",554,NCT04329195,1: DISCONTINUATION OF RAS BLOCKER THERAPY,FRANCE,Recruiting,Assistance Publique - Hôpitaux de Paris,"April 9, 2020",Interventional,ACE Inhibitors or ARBs Discontinuation for Clinical Outcome Risk Reduction in Patients Hospitalized for the Endemic Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-2) Infection: the Randomized ACORES-2 Study,COVID
396,COVID,"February 08, 2021",200,NCT04329507,BREATH TEST,UNITED KINGDOM,Recruiting,NHS Lothian,"March 25, 2020",Observational,Non-invasive Detection of Pneumonia in Context of Covid-19 Using Gas Chromatography - Ion Mobility Spectrometry (GC-IMS),COVID
397,PERCEIVED STRESS,"February 08, 2021",101,NCT04329533,"""CALM"" IS A MINDFULNESS MEDITATION MOBILE APP",UNITED STATES,Completed,University of Arizona,"April 13, 2020",Interventional,Effects of a Mobile Meditation App on Stress During COVID-19 Pandemic in Outpatient Obstetrics and Gynecology Patients; a Randomized Controlled Trial,Unrelated
398,SARS-CoV2 VIRAL KINETICS AND HOST IMMUNE RESPONSES,"February 08, 2021",250,NCT04329546,NA (NO INTERVENTION),SWITZERLAND,Recruiting,"University Hospital, Geneva","March 27, 2020",Observational,How Immune Responses Shape Virological and Clinical Characteristics of COVID-19: a Prospective Cohort Study,COVID
399,COVID,"February 08, 2021",50,NCT04329559,,CHINA,Recruiting,Hepatopancreatobiliary Surgery Institute of Gansu Province,"March 30, 2020",Observational [Patient Registry],Clinical Characteristics of COVID-19 in Patients With Pre-existing Cirrhosis (COVID-Cirrhosis-CHESS2002): A Multicentre Observational Study,COVID
400,COVID,"February 08, 2021",400,NCT04329572,HYDROXYCHLOROQUINE SULFATE,BRAZIL,Suspended,Azidus Brasil,"April 23, 2020",Interventional,"Open, Multicentric, Non Randomized, Exploratory Clinical Trial to Assess the Efficacy and Safety of Hydroxychloroquine and Azithromycin for the Treatment of Acute Respiratory Syndrome (COVID-19) Caused by SARS-CoV-2 Virus",COVID
401,COVID,"February 08, 2021",148,NCT04329611,HYDROXYCHLOROQUINE,CANADA,Terminated,Dr. Michael Hill,"April 13, 2020",Interventional,"A Randomized, Double-blind, Placebo-controlled Trial to Assess the Efficacy and Safety of Oral Hydroxychloroquine for the Treatment of SARS-CoV-2 Positive Patients for the Prevention of Severe COVID-19 Disease.",COVID
402,COVID,"February 08, 2021",200,NCT04329650,SILTUXIMAB,SPAIN,Recruiting,Judit Pich Martínez,"April 15, 2020",Interventional,"Phase 2, Randomized, Open-label Study to Compare Efficacy and Safety of Siltuximab vs. Corticosteroids in Hospitalized Patients With COVID19 Pneumonia",COVID
403,COVID,"February 08, 2021",85,NCT04329832,HYDROXYCHLOROQUINE,UNITED STATES,"Active, not recruiting","Intermountain Health Care, Inc.","March 30, 2020",Interventional,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19 (HAHPS): A Prospective Pragmatic Trial,COVID
404,HIP OSTEOARTHRITIS,"February 08, 2021",90,NCT04329897,SOFTWARE MESSAGING,UNITED STATES,Completed,University of Iowa,"April 5, 2020",Interventional,Acceptance and Commitment Therapy Delivered by Automated Software Messaging,Unrelated
405,COVID,"February 08, 2021",173,NCT04329923,HYDROXYCHLOROQUINE SULFATE 400 MG TWICE A DAY,UNITED STATES,Terminated,"Ravi Amaravadi, MD","April 9, 2020",Interventional,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),COVID
406,CONTACT PERSON FROM COVID CONFIRMED PATIENT,"February 08, 2021",2486,NCT04330144,HYDROXYCHLOROQUINE AS POST EXPOSURE PROPHYLAXIS,,Not yet recruiting,Gangnam Severance Hospital,"April 1, 2020",Interventional,A Study of Hydroxychloroquine as Post Exposure Prophylaxis for SARS-CoV-2(HOPE Trial),COVID
407,COVID,"February 08, 2021",12500,NCT04330261,EXPOSURE (NOT INTERVENTION) - SARS-COV-2 INFECTION,CANADA,Recruiting,University of Calgary,"March 18, 2020",Observational,Clinical Characteristics and Outcomes of Children Potentially Infected by Severe Acute Respiratory Distress Syndrome (SARS)-CoV-2 Presenting to Pediatric Emergency Departments,COVID
408,HYPERTENSION,"February 08, 2021",2414,NCT04330300,THIAZIDE OR THIAZIDE-LIKE DIURETICS,IRELAND,Suspended,"National University of Ireland, Galway, Ireland","April 30, 2020",Interventional,The CORONAvirus Disease 2019 Angiotensin Converting Enzyme Inhibitor/Angiotensin Receptor Blocker InvestigatiON (CORONACION) Randomized Clinical Trial,Unrelated
409,FACE-TOUCHING BEHAVIOR,"February 08, 2021",1094,NCT04330352,"MINDFULNESS-BASED ""STOP TOUCHING YOUR FACE"" PRACTICE",CHINA,Completed,Sir Run Run Shaw Hospital,"April 2, 2020",Interventional,"""STOP Touching Your Face"": a Randomized Controlled Trial of Brief Mindfulness-based Intervention",Unrelated
410,COVID,"February 08, 2021",800,NCT04330495,HIDROXICLOROQUINA,,Not yet recruiting,Instituto de Investigación Marqués de Valdecilla,"April 6, 2020",Interventional,"Randomized, Controlled, Double-blind Clinical Trial Comparing the Efficacy and Safety of Chemoprophylaxis With Hydroxychloroquine in Patients Under Biological Treatment and / or JAK Inhibitors in the Prevention of SARS-CoV-2 Infection",COVID
411,CANCER,"February 08, 2021",50,NCT04330521,,UNITED STATES,Recruiting,Stanford University,"April 8, 2020",Observational,Impact of the Coronavirus (COVID-19) on Patients With Cancer,Unrelated
412,COVID,"February 08, 2021",66,NCT04330586,CICLESONIDE METERED DOSE INHALER [ALVESCO],"KOREA, REPUBLIC OF",Recruiting,Korea University Guro Hospital,"April 1, 2020",Interventional,A Trial of Ciclesonide to Assess The Antiviral Effect for Adults With Mild-to-moderate COVID-19,COVID
413,COVID,"February 08, 2021",12000,NCT04330599,,UNITED KINGDOM,Recruiting,Queen Mary University of London,"May 1, 2020",Observational,Longitudinal Population-based Observational Study of COVID-19 in the UK Population,COVID
414,COVID,"February 08, 2021",342,NCT04330638,USUAL CARE,BELGIUM,"Active, not recruiting","University Hospital, Ghent","April 3, 2020",Interventional,"A Prospective, Randomized, Factorial Design, Interventional Study to Compare the Safety and Efficacy of Combinations of Blockade of Interleukin-6 Pathway and Interleukin-1 Pathway to Best Standard of Care in Improving Oxygenation and Short- and Long-term Outcome of COVID-19 Patients With Acute Hypoxic Respiratory Failure and Systemic Cytokine Release Syndrome",COVID
415,COVID,"February 08, 2021",2900,NCT04330690,INTERFERON BETA-1A,CANADA,Recruiting,Sunnybrook Health Sciences Centre,"March 18, 2020",Interventional,"A Multi-centre, Adaptive, Randomized, Open-label, Controlled Clinical Trial of the Safety and Efficacy of Investigational Therapeutics for the Treatment of COVID-19 in Hospitalized Patients (CATCO: Canadian Treatments for COVID-19), in Conjunction With the Public Health Emergency SOLIDARITY Trial (World Health Organization)",COVID
416,COVID INFECTION,"February 08, 2021",436,NCT04331054,2: USUAL PRACTICE + SYMBICORT RAPIHALER,FRANCE,Recruiting,Assistance Publique - Hôpitaux de Paris,"April 13, 2020",Interventional,Protective Role of Inhaled Steroids for Covid-19 Infection,COVID
417,ANXIETY RELATED TO THE COVID PANDEMIC,"February 08, 2021",7500,NCT04331106,ONLINE QUESTIONNAIRE,GERMANY,Recruiting,"Charite University, Berlin, Germany","March 27, 2020",Observational,Online-based Survey of the Anxiety Associated With the COVID-19 Pandemic in the General Population in Germany,COVID
418,COVID,"February 08, 2021",12000000,NCT04331171,WEB APPLICATION USERS,FRANCE,Recruiting,Weprom,"March 17, 2020",Observational [Patient Registry],Epidemiological Observation From a Smartphone Self-monitoring Application for Suspected COVID-19 Patients' Triage,COVID
419,COVID,"February 08, 2021",2,NCT04331366,GO2 PEEP MOUTHPIECE,UNITED STATES,Completed,Emory University,"April 8, 2020",Interventional,GO2 PEEP Study: The Use of a Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,COVID
420,COVID,"February 08, 2021",30,NCT04331470,LEVAMISOLE PILL + BUDESONIDE+FORMOTEROL INHALER,"IRAN, ISLAMIC REPUBLIC OF",Recruiting,Fasa University of Medical Sciences,"April 4, 2020",Interventional,Evaluation of Efficacy of Pharmacotherapy Treatment of COVID- 19 Infection Using Oral Levamisole and Formoterol+Budesonide Inhaler and Comparison of This Treatment Protocol With Standard National Treatment of the Disease,COVID
421,COVID,"February 08, 2021",10000000,NCT04331509,NO INTERVENTION,UNITED KINGDOM,Recruiting,King's College London,"March 23, 2020",Observational,COVID-19 Symptom Tracker,COVID
422,COVID,"February 08, 2021",2000,NCT04331574,,ITALY,Recruiting,Societa Italiana dell'Ipertensione Arteriosa,"March 10, 2020",Observational [Patient Registry],Phase IV Observational Study to Associate Hypertension and Hypertensinon Treatment to COVID19,COVID
423,COVID,"February 08, 2021",400,NCT04331600,CHLOROQUINE PHOSPHATE,POLAND,Recruiting,Wroclaw Medical University,"April 16, 2020",Interventional,"Multicenter, Randomized, Open-label, Non-commercial, Investigator-initiated Study to Evaluate the Efficacy and Safety of Chloroquine Phosphate in Combination With Telemedicine Care in the Risk Reduction of COVID-19 Related Hospitalization or Death, in Ambulatory Patients With COVID-19 Being at Risk of Serious Complications",COVID
424,COVID,"February 08, 2021",9,NCT04331613,CASTEM,CHINA,Recruiting,Chinese Academy of Sciences,"January 27, 2020",Interventional,Safety and Efficacy Study of Human Embryonic Stem Cells Derived M Cells (CAStem) for the Treatment of Severe COVID-19 Associated With or Without Acute Respiratory Distress Syndrome (ARDS),COVID
425,COVID,"February 08, 2021",64,NCT04331665,RUXOLITINIB,CANADA,Not yet recruiting,"University Health Network, Toronto","April 20, 2020",Interventional,A Single Arm Open-label Clinical Study to Investigate the Efficacy and Safety of Ruxolitinib for the Treatment of COVID-19 Pneumonia,COVID
426,COVID,"February 08, 2021",32,NCT04331795,TOCILIZUMAB,UNITED STATES,Completed,University of Chicago,"April 4, 2020",Interventional,Early Institution of Tocilizumab Titration in Non-Critical Hospitalized COVID-19 Pneumonitis,COVID
427,CORONAVIRUS INFECTION,"February 08, 2021",228,NCT04331808,TOCILIZUMAB,FRANCE,"Active, not recruiting",Assistance Publique - Hôpitaux de Paris,"March 30, 2020",Interventional,Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients - Tocilizumab Trial - CORIMUNO-19 - TOCI (CORIMUNO-TOCI),COVID
428,COVID,"February 08, 2021",440,NCT04331834,HYDROXYCHLOROQUINE,SPAIN,Suspended,Barcelona Institute for Global Health,"April 3, 2020",Interventional,"Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic: A Multicentre, Double-Blinded Randomized Controlled Trial",COVID
429,COVID,"February 08, 2021",5000,NCT04331886,,UNITED STATES,Recruiting,"Target PharmaSolutions, Inc.","April 13, 2020",Observational,An Observational Study of Patients With Coronavirus Disease 2019,COVID
430,COVID,"February 08, 2021",120,NCT04331899,PEGINTERFERON LAMBDA-1A,UNITED STATES,"Active, not recruiting",Stanford University,"April 24, 2020",Interventional,"A Phase 2 Randomized, Single-Blind Study of a Single Dose of Peginterferon Lambda-1a (Lambda) Compared With Placebo in Outpatients With Mild COVID-19",COVID
431,INFECTION VIRAL,"February 08, 2021",2000,NCT04332016,BIOLOGICAL SAMPLES COLLECTION,FRANCE,Recruiting,"University Hospital, Bordeaux","April 2, 2020",Observational,Biological Samples Collection From Patients and Caregivers Treated at Bordeaux University Hospital for Asymptomatic and Symptomatic Severe Acute Respiratory Syndrome CoronaVirus 2 (SARS-CoV-2) Infection (COVID-19).,Unrelated
432,SARS-CoV2 RELATED INTERSTITIAL PNEUMONIA,"February 08, 2021",50,NCT04332042,TOFACITINIB,ITALY,Not yet recruiting,Università Politecnica delle Marche,"April 10, 2020",Interventional,TOFAcitinib in Patients With Early Onset SARS-CoV2 Interstitial Pneumonia,COVID
433,COVID,"February 08, 2021",20,NCT04332081,HYPERBARIC OXYGEN THERAPY (HBOT),UNITED STATES,Terminated,NYU Langone Health,"April 6, 2020",Interventional,Open Label Single-Center Study of Emergency Hyperbaric Oxygen for Respiratory Distress in Patients With COVID-19,COVID
434,COVID,"February 08, 2021",276,NCT04332094,TOCILIZUMAB,SPAIN,Recruiting,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,"April 2, 2020",Interventional,"Pilot, Randomized, Multicenter, Open-label Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of SARS-CoV-2 Infection (COVID-19)",COVID
435,COVID,"February 08, 2021",2271,NCT04332107,AZITHROMYCIN,UNITED STATES,Recruiting,Thomas M. Lietman,"May 22, 2020",Interventional,Azithromycin for Prevention of Disease Progression in Patients With Mild or Moderate COVID-19,COVID
436,CORONAVIRUS,"February 08, 2021",10,NCT04332380,PLASMA,COLOMBIA,Completed,Universidad del Rosario,"May 1, 2020",Interventional,Convalescent Plasma for Patients With COVID-19: A Pilot Study,COVID
437,CORONAVIRUS,"February 08, 2021",60,NCT04332666,ANGIOTENSIN 1-7,,Not yet recruiting,Erasme University Hospital,"September 30, 2020",Interventional,"Angiotensin-(1,7) Treatment in COVID-19: the ATCO Trial",COVID
438,CORONAVIRUS,"February 08, 2021",92,NCT04332835,PLASMA,COLOMBIA,Completed,Universidad del Rosario,"August 8, 2020",Interventional,"Convalescent Plasma for Patients With COVID-19: A Randomized, Single Blinded, Parallel, Controlled Clinical Study",COVID
439,COVID PNEUMONIA,"February 08, 2021",30,NCT04332913,,ITALY,Recruiting,University of L'Aquila,"April 1, 2020",Observational,Efficacy and Safety of Tocilizumab in the Treatment of Patients With Respiratory Distress Syndrome and Cytokine Release Syndrome Secondary to COVID-19: a Proof of Concept Study,COVID
440,CORONAVIRUS,"February 08, 2021",479,NCT04332991,HYDROXYCHLOROQUINE,UNITED STATES,Completed,Massachusetts General Hospital,"April 2, 2020",Interventional,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease,COVID
441,COVID,"February 08, 2021",228,NCT04333225,HYDROXYCHLOROQUINE,UNITED STATES,Completed,Baylor Research Institute,"April 3, 2020",Interventional,A Prospective Clinical Study of Hydroxychloroquine in the Prevention of SARS- CoV-2 (COVID-19) Infection in Healthcare Workers After High-risk Exposures,COVID
442,"PNEUMONIA, INTERSTITIAL","February 08, 2021",115,NCT04333251,HIGH-TITER ANTI-SARS-COV-2 PLASMA,,Not yet recruiting,Baylor Research Institute,"April 1, 2020",Interventional,Evaluating Convalescent Plasma to Decrease Coronavirus Associated Complications. A Phase I Study Comparing the Efficacy and Safety of High-titer Anti-Sars-CoV-2 Plasma vs Best Supportive Care in Hospitalized Patients With Interstitial Pneumonia Due to COVID-19,Respiratory
443,COVID,"February 08, 2021",20,NCT04333355,CONVALESCENT PLASMA,MEXICO,Recruiting,Hospital San Jose Tec de Monterrey,"May 8, 2020",Interventional,Phase 1 Study to Evaluate the Safety of Convalescent Plasma as an Adjuvant Therapy in Patients With SARS-CoV-2 Infection,COVID
444,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,"February 08, 2021",47,NCT04333368,UMBILICAL CORD WHARTON'S JELLY-DERIVED HUMAN,FRANCE,"Active, not recruiting",Assistance Publique - Hôpitaux de Paris,"April 6, 2020",Interventional,Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS,COVID
445,COVID,"February 08, 2021",3170,NCT04333407,ASPIRIN 75MG,UNITED KINGDOM,Recruiting,Imperial College London,"April 3, 2020",Interventional,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,COVID
446,SEVERE COVID PNEUMONIA,"February 08, 2021",390,NCT04333420,SOC + IFX-1,GERMANY,Recruiting,InflaRx GmbH,"March 31, 2020",Interventional,"A Pragmatic Adaptive Randomized, Controlled Phase II/III Multicenter Study of IFX-1 in Patients With Severe COVID-19 Pneumonia",COVID
447,COVID,"February 08, 2021",40,NCT04333472,PICLIDENOSON,ISRAEL,Recruiting,Can-Fite BioPharma,"January 6, 2021",Interventional,"Piclidenoson for Treatment of COVID-19 - A Randomized, Double-Blind, Placebo-Controlled Trial",COVID
448,COVID,"February 08, 2021",50,NCT04333550,DEFEROXAMINE,"IRAN, ISLAMIC REPUBLIC OF",Recruiting,Kermanshah University of Medical Sciences,April 2020,Interventional,Application of Iron Chelator (Desferal) to Reduce the Severity of COVID-19 Manifestations,COVID
449,COVID,"February 08, 2021",210,NCT04333589,FAVIPIRAVIR,CHINA,Recruiting,Peking University First Hospital,"April 1, 2020",Interventional,"The Mechanism, Clinical Outcome and Therapeutic Intervention of Corona Virus Disease 2019 Patients Whose Nucleic Acids Changed From Negative to Positive",COVID
450,COVID,"February 08, 2021",5,NCT04333628,CHLOROQUINE,ISRAEL,Terminated,"HaEmek Medical Center, Israel","June 1, 2020",Interventional,"Chloroquine for Mild Symptomatic and Asymptomatic COVID-19 in A Two Staged, Multicenter, Open Label and Randomized Trial",COVID
451,CORONAVIRUS INFECTION,"February 08, 2021",8,NCT04333654,HYDROXYCHLOROQUINE SAR321068,BELGIUM,Terminated,Sanofi,"April 12, 2020",Interventional,"A Phase 1b, Randomized, Double-blinded, Placebo-controlled Study of Hydroxychloroquine in Outpatient Adults With COVID-19",COVID
452,VASCULAR SURGICAL PROCEDURES,"February 08, 2021",50,NCT04333693,VASCULAR SURGERY,SPAIN,Not yet recruiting,Vascular Investigation Network Spanish Society for Angiology and Vascular Surgery,"April 1, 2020",Observational [Patient Registry],Outcomes of Vascular Surgery in COVID-19 Infection: National Cohort Study (Covid-VAS),Unrelated
453,COVID,"February 08, 2021",30000,NCT04333732,MR OR M-M-R II ® VACCINE,GHANA,Recruiting,Washington University School of Medicine,"September 4, 2020",Interventional,"An International, Multi-site, Bayesian Platform Adaptive, Randomized, Placebo-controlled Trial Assessing the Effectiveness of Candidate Agents in Mitigating COVID-19 Disease in Adults",COVID
454,CORONAVIRUS,"February 08, 2021",132,NCT04333849,,FRANCE,Completed,"University Hospital, Angers","March 25, 2020",Observational,Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19,COVID
455,SARS-CoV2,"February 08, 2021",500,NCT04333862,,SWITZERLAND,Recruiting,"University Hospital Inselspital, Berne","March 19, 2020",Observational,Assessment of Covid-19 Infection Rates in Healthcare Workers Using a Desynchronization Strategy,COVID
456,AORTIC VALVE STENOSIS,"February 08, 2021",71,NCT04333875,TAVR OR SAVR,SWITZERLAND,"Active, not recruiting","University Hospital Inselspital, Berne","March 20, 2020",Observational [Patient Registry],Morbidity and Mortality Due to Deferral of Aortic Valve Replacement in Patients With Severe Aortic Stenosis - a Collateral Effect of the SARS-CoV-2 Pandemic (AS DEFER),Unrelated
457,SARS-CoV2 (COVID) INFECTION,"February 08, 2021",219,NCT04333914,AUTOPHAGY INHIBITOR (GNS651),FRANCE,Recruiting,Centre Leon Berard,"April 15, 2020",Interventional,"A Prospective, Controlled, Randomized, Multicenter Study of the Efficacy of an Autophagy Inhibitor (GNS561), an Anti-NKG2A (Monalizumab) and an Anti-C5aR (Avdoralimab) Compared to the Standard of Care in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 (COVID-19) Infection.",COVID
458,HIV/AIDS,"February 08, 2021",500,NCT04333953,NO INTERVENTION,UNITED STATES,Recruiting,University of Missouri-Columbia,"April 1, 2020",Observational [Patient Registry],Prospective Observational Study for Patients With HIV and Confirmed SARS-CoV-2,Unrelated
459,PATIENTS INFECTED WITH COVID,"February 08, 2021",200,NCT04334005,VITAMIN D,SPAIN,Not yet recruiting,Universidad de Granada,"April 10, 2020",Interventional,Effect of Vitamin D Administration on Prevention and Treatment of Mild Forms of Suspected Covid-19,COVID
460,COVID,"February 08, 2021",20,NCT04334044,RUXOLITINIB ORAL TABLET,MEXICO,Recruiting,Grupo Cooperativo de Hemopatías Malignas,"September 1, 2020",Interventional,Treatment of Severe Acute Respiratory Syndrome Caused by COVID-19 With Ruxolitinib,COVID
461,COVID,"February 08, 2021",1363,NCT04334148,HYDROXYCHLOROQUINE,UNITED STATES,"Active, not recruiting",Adrian Hernandez,"April 22, 2020",Interventional,Healthcare Worker Exposure Response and Outcomes of Hydroxychloroquine Trial (HERO-HCQ Trial),COVID
462,COVID,"February 08, 2021",528,NCT04334252,QUESTIONNAIRE,BELGIUM,Completed,Jessa Hospital,"April 17, 2020",Observational,Descriptive Study Regarding the Ambulant Screening Protocol for COVID-19 in Times of High SARS CoV-2 Prevalence,COVID
463,COVID,"February 08, 2021",750,NCT04334265,ANLUOHUAXIAN,CHINA,Recruiting,Peking University First Hospital,"April 1, 2020",Interventional,"Efficacy and Safety of Anluohuaxian in the Treatment of Rehabilitation Patients With Corona Virus Disease 2019-A Multicenter, Open, Randomized Controlled Study",COVID
464,COVID,"February 08, 2021",8168,NCT04334291,OBSERVATIONAL (REGISTRY),SPAIN,Completed,IVAN J NUÑEZ GIL,"March 23, 2020",Observational [Patient Registry],International COVID19 Clinical Evaluation Registry: HOPECOVID19. (Health Outcome Predictive Evaluation for COVID19),COVID
465,COVID,"February 08, 2021",1550,NCT04334382,HYDROXYCHLOROQUINE,UNITED STATES,Recruiting,"Intermountain Health Care, Inc.","April 2, 2020",Interventional,Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19 (HyAzOUT): A Prospective Pragmatic Trial,COVID
